name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
CXD_1412_FDSW210423229-1r,BH2_FDSW220017122-1r,0.0564159,0.380742264,0.656282504,0.148134463,0.097243652
CXD_1414_FDSW210423231-1r,BH2_FDSW220017122-1r,0.05736514,0.37637512,0.661576297,0.164147928,0.100834021
CXD_1604_FDSW210423236-1r,BH2_FDSW220017122-1r,0.05206789,0.317995481,0.719465574,0.339260172,0.117803732
CXD_1609_FDSW210423241-1r,BH2_FDSW220017122-1r,0.05063188,0.338840976,0.696420082,0.269548682,0.104063736
CXD_1610_FDSW210423242-1r,BH2_FDSW220017122-1r,0.04821219,0.343847252,0.689389737,0.248282229,0.096662075
CXD_1611_FDSW210423243-1r,BH2_FDSW220017122-1r,0.05477145,0.362904028,0.674012621,0.201767202,0.101725651
CXD_1612_FDSW210423244-1r,BH2_FDSW220017122-1r,0.0552901,0.368454781,0.66850704,0.185113089,0.100315759
CXD_1613_FDSW210423245-1r,BH2_FDSW220017122-1r,0.05699493,0.374294638,0.663522798,0.170035999,0.101036541
BH6_FDSW220017126-1r,BH4_FDSW220017124-1r,0.81439813,0.324118163,0.397984905,-0.633203195,0.109289433
BH8_FDSW220017128-1r,BH4_FDSW220017124-1r,0.78380458,0.313314476,0.39973545,-0.627907883,0.12585233
BH10_FDSW220017130-1r,BH4_FDSW220017124-1r,0.88126121,0.317182647,0.359918992,-0.748350728,0.062588254
BH12_FDSW220017132-1r,BH4_FDSW220017124-1r,0.75974581,0.313237815,0.412292915,-0.589922161,0.144234937
BH14_FDSW220017134-1r,BH4_FDSW220017124-1r,0.68937978,0.294514424,0.42721651,-0.544779014,0.188100354
BH15_FDSW220017135-1r,BH4_FDSW220017124-1r,0.7437772,0.299332279,0.40244885,-0.619699979,0.147169005
DD1_FDSW220008388-1r,BH4_FDSW220017124-1r,0.04348822,0.301986503,0.729748981,0.370366978,0.105089081
DD3_FDSW220008390-2r,BH4_FDSW220017124-1r,0.04208378,0.281401642,0.750168275,0.432134348,0.112188104
DD5_FDSW220008392-2r,BH4_FDSW220017124-1r,0.0512363,0.319775277,0.716959052,0.331678065,0.114875451
DD7_FDSW220008394-1r,BH4_FDSW220017124-1r,0.04000044,0.281331369,0.7486135,0.427431229,0.106439852
DD9_FDSW220008396-1r,BH4_FDSW220017124-1r,0.04346021,0.301317065,0.730427466,0.372419361,0.105352583
DD11_FDSW220008398-1r,BH4_FDSW220017124-1r,0.04478266,0.314782274,0.717342219,0.332837126,0.102053055
DD13_FDSW220008400-2r,BH4_FDSW220017124-1r,0.04213862,0.305486714,0.725066592,0.356202978,0.10001517
DD15_FDSW220008402-2r,BH4_FDSW220017124-1r,0.04399315,0.312539936,0.719095333,0.338140211,0.101219925
DY2_FDME210438600-1b,BH4_FDSW220017124-1r,0.00630844,0.297654225,0.70680461,0.300961372,0.014979913
DY3_FDME210438601-1r,BH4_FDSW220017124-1r,0.04590625,0.356862268,0.674082323,0.201978049,0.086712983
DY6_FDME210438604-1r,BH4_FDSW220017124-1r,0.00366847,0.26373943,0.738971464,0.398264541,0.010278685
DY7_FDME210438605-1r,BH4_FDSW220017124-1r,0.00083453,0.259527155,0.741091308,0.404676965,0.002383037
DY10_FDME210438608-1r,BH4_FDSW220017124-1r,0.0043951,0.273626606,0.729579971,0.369855731,0.011718805
DY11_FDME210438609-1r,BH4_FDSW220017124-1r,0.00104225,0.215344113,0.785474548,0.538934103,0.00380164
DY13_FDME210438611-1b,BH4_FDSW220017124-1r,0.00033096,0.235590087,0.764662986,0.475980141,0.001074208
DY15_FDME210438613-1r,BH4_FDSW220017124-1r,0.00060381,0.253300614,0.747150523,0.423005796,0.001781034
LYG1_FDME210455382-1r,BH4_FDSW220017124-1r,0.07229781,0.363608199,0.685987171,0.237989633,0.136397832
LYG3_FDME210455384-1r,BH4_FDSW220017124-1r,0.05947462,0.311735595,0.731787169,0.376532398,0.139614354
LYG5_FDME210455386-1r,BH4_FDSW220017124-1r,0.06035783,0.31752469,0.72631405,0.359976478,0.138064035
LYG6_FDME210455387-1r,BH4_FDSW220017124-1r,0.06393434,0.36135891,0.682260996,0.226718136,0.120710754
LYG7_FDME210455388-1r,BH4_FDSW220017124-1r,0.06012136,0.360195215,0.680731275,0.222090804,0.113623081
LYG11_FDME210455392-2r,BH4_FDSW220017124-1r,0.05186001,0.250998191,0.789969642,0.552531545,0.163219637
LYG13_FDME210455394-1a,BH4_FDSW220017124-1r,0.06610561,0.32914203,0.718344576,0.335869209,0.144273906
LYG15_FDME210455396-1a,BH4_FDSW220017124-1r,0.05304819,0.16254817,0.884365837,0.838075438,0.288616027
NB1_FDME210455352-1r,BH4_FDSW220017124-1r,0.03459098,0.36949419,0.653097078,0.138498705,0.061141064
NB2_FDME210455353-1r,BH4_FDSW220017124-1r,0.04004286,0.359295646,0.667430167,0.181855601,0.074383904
NB4_FDME210455355-1r,BH4_FDSW220017124-1r,0.03367593,0.358131963,0.66423683,0.172195912,0.062459639
NB6_FDME210455357-1r,BH4_FDSW220017124-1r,0.03245931,0.342353149,0.679709761,0.219000774,0.064444887
NB7_FDME210455358-1r,BH4_FDSW220017124-1r,0.03414075,0.350110352,0.672861649,0.198285569,0.065613602
NB11_FDME210455362-1b,BH4_FDSW220017124-1r,0.03188818,0.340908301,0.680801211,0.222302358,0.063681382
NB12_FDME210455363-1r,BH4_FDSW220017124-1r,0.03167785,0.348653418,0.672654841,0.197659985,0.061115876
NB15_FDME210455366-1r,BH4_FDSW220017124-1r,0.03491885,0.365028693,0.657946025,0.153166534,0.062939487
SY1_FDME210455397-2a,BH4_FDSW220017124-1r,0.05614989,0.263432311,0.780386293,0.523542381,0.166337244
SY3_FDME210455399-2a,BH4_FDSW220017124-1r,0.12595829,0.272060909,0.832842509,0.682219879,0.385587986
SY7_FDME210455403-2a,BH4_FDSW220017124-1r,0.07627539,0.263375303,0.797450549,0.575160923,0.230947439
SY9_FDME210455405-2a,BH4_FDSW220017124-1r,0.08392583,0.247618534,0.821310644,0.647336549,0.27836841
SY11_FDME210455407-1r,BH4_FDSW220017124-1r,0.03990779,0.18946554,0.84422564,0.716653297,0.177822203
SY12_FDME210455408-1r,BH4_FDSW220017124-1r,0.06247124,0.205718673,0.847207426,0.725673053,0.257274159
SY13_FDME210455409-2a,BH4_FDSW220017124-1r,0.127288,0.267526053,0.839307752,0.701776925,0.399339817
SY15_FDME210455411-2a,BH4_FDSW220017124-1r,0.0956913,0.245839311,0.833963766,0.685611626,0.324614792
ST1_FDME220007465-1r,BH4_FDSW220017124-1r,0.15838396,0.307537132,0.82277765,0.651774172,0.423736742
ST3_L1,BH4_FDSW220017124-1r,0.13522635,0.37212178,0.726060767,0.359210311,0.263845205
ST7_FDME220007471-1r,BH4_FDSW220017124-1r,0.11943184,0.36032501,0.726434385,0.360340487,0.240780942
ST9_L1,BH4_FDSW220017124-1r,0.14063218,0.356059169,0.749319227,0.429566019,0.295957542
ST10_L1,BH4_FDSW220017124-1r,0.1811766,0.260348448,0.903310228,0.895381297,0.628613986
ST12_L1,BH4_FDSW220017124-1r,0.17306813,0.243677034,0.914613396,0.929572829,0.649591089
ST13_L1,BH4_FDSW220017124-1r,0.17684156,0.326649399,0.818008501,0.637347727,0.442853714
ST15_L1,BH4_FDSW220017124-1r,0.15837992,0.324583332,0.802519669,0.590494766,0.391588195
WZ1_L1,BH4_FDSW220017124-1r,0.04037842,0.333041201,0.695022718,0.265321724,0.084265608
WZ3_L1,BH4_FDSW220017124-1r,0.04080228,0.333096946,0.695271726,0.26607496,0.085166412
WZ5_L1,BH4_FDSW220017124-1r,0.03984753,0.320498314,0.707701857,0.303675501,0.087988516
WZ7_FDME210455463-1r,BH4_FDSW220017124-1r,0.04153167,0.339573054,0.689044098,0.24723669,0.084273919
WZ10_L1,BH4_FDSW220017124-1r,0.04159313,0.35094395,0.677223913,0.211481204,0.080263137
WZ11_L1,BH4_FDSW220017124-1r,0.04158934,0.343061331,0.685445912,0.236352351,0.083096638
WZ14_L1,BH4_FDSW220017124-1r,0.03969001,0.33069292,0.696969819,0.271211609,0.083650836
WZ15_FDME210455471-1r,BH4_FDSW220017124-1r,0.04274009,0.363223788,0.665207229,0.175131322,0.078274105
XM2_FDME220007436-1r,BH4_FDSW220017124-1r,0.14965834,0.347863853,0.766910734,0.482779471,0.329941114
XM4_FDME220007438-1r,BH4_FDSW220017124-1r,0.12590908,0.373985515,0.71618921,0.32934933,0.241118228
XM6_FDME220007440-1r,BH4_FDSW220017124-1r,0.1248173,0.375784718,0.713239969,0.32042802,0.236903426
XM8_FDME220007442-1r,BH4_FDSW220017124-1r,0.11777884,0.383747096,0.698524284,0.275913789,0.214389583
XM10_FDME220007444-1r,BH4_FDSW220017124-1r,0.12679966,0.378859443,0.71133797,0.314674567,0.23807619
XM12_FDME220007446-1r,BH4_FDSW220017124-1r,0.1265361,0.374427925,0.716196829,0.329372377,0.242035242
XM14_FDME220007448-1r,BH4_FDSW220017124-1r,0.1372473,0.366397554,0.734396364,0.384425084,0.275094407
XM15_FDME220007449-1r,BH4_FDSW220017124-1r,0.14128175,0.362829339,0.742002003,0.407431772,0.288927411
YC1_FDME220007405-1r,BH4_FDSW220017124-1r,0.03103599,0.36338805,0.657002678,0.150312955,0.056112821
YC3_FDME220007407-1r,BH4_FDSW220017124-1r,0.03300244,0.37814001,0.643083308,0.108207538,0.056125556
YC5_FDME220007409-1r,BH4_FDSW220017124-1r,0.03215112,0.365790834,0.655277058,0.145093037,0.05759546
YC7_FDME220007411-1a,BH4_FDSW220017124-1r,0.02993402,0.364454856,0.655156615,0.144728703,0.053810426
YC9_FDME220007413-1r,BH4_FDSW220017124-1r,0.03239287,0.375855729,0.645038933,0.114123208,0.055592241
YC11_FDME220007415-1r,BH4_FDSW220017124-1r,0.02925903,0.350477234,0.669099982,0.18690671,0.055858739
YC13_FDME220007417-1r,BH4_FDSW220017124-1r,0.03090443,0.3614697,0.658893013,0.156031125,0.056333112
YC15_FDME220007419-1r,BH4_FDSW220017124-1r,0.03115111,0.371302274,0.648912057,0.12583922,0.05444171
ZH1_FDSW220008784-1r,BH4_FDSW220017124-1r,0.04836705,0.311012045,0.724005989,0.352994706,0.112593819
ZH3_FDSW220008786-1r,BH4_FDSW220017124-1r,0.06559407,0.349091116,0.696601834,0.270098472,0.130891184
ZH5_FDSW220008788-1r,BH4_FDSW220017124-1r,0.05073886,0.32283279,0.713362405,0.320798384,0.112117469
ZH7_FDSW220008790-1r,BH4_FDSW220017124-1r,0.06134944,0.34072527,0.702364392,0.287529929,0.126464533
ZH9_FDSW220008792-2r,BH4_FDSW220017124-1r,0.06293309,0.333181308,0.711602005,0.31547326,0.134411241
ZH11_FDSW220008794-2r,BH4_FDSW220017124-1r,0.05922553,0.336269831,0.705514648,0.297059301,0.12425878
ZH13_FDSW220008796-2r,BH4_FDSW220017124-1r,0.05950068,0.337587226,0.704320312,0.293446491,0.124138398
ZH15_FDSW220008798-2r,BH4_FDSW220017124-1r,0.06177766,0.335118697,0.708660703,0.306575964,0.130638488
CXD_1412_FDSW210423229-1r,BH4_FDSW220017124-1r,0.05439697,0.372266581,0.663844551,0.171009287,0.097003422
CXD_1414_FDSW210423231-1r,BH4_FDSW220017124-1r,0.05672874,0.368957677,0.66899348,0.186584547,0.102860462
CXD_1604_FDSW210423236-1r,BH4_FDSW220017124-1r,0.0507368,0.308935071,0.72800139,0.365080601,0.119560595
CXD_1609_FDSW210423241-1r,BH4_FDSW220017124-1r,0.05014679,0.331278844,0.70402579,0.292555577,0.106570746
CXD_1610_FDSW210423242-1r,BH4_FDSW220017124-1r,0.04766513,0.334757035,0.698538913,0.275958043,0.099463027
CXD_1611_FDSW210423243-1r,BH4_FDSW220017124-1r,0.05421173,0.355381674,0.681567267,0.224619639,0.103969741
CXD_1612_FDSW210423244-1r,BH4_FDSW220017124-1r,0.0547229,0.363129786,0.673739176,0.200940045,0.101531086
CXD_1613_FDSW210423245-1r,BH4_FDSW220017124-1r,0.05605044,0.365118824,0.672579556,0.197432252,0.103249621
BH8_FDSW220017128-1r,BH6_FDSW220017126-1r,0.9006825,0.319341789,0.354555338,-0.764575519,0.051734555
BH10_FDSW220017130-1r,BH6_FDSW220017126-1r,0.83164459,0.324063138,0.389665419,-0.658369234,0.09705386
BH12_FDSW220017132-1r,BH6_FDSW220017126-1r,0.85453741,0.322481111,0.377375066,-0.695546956,0.081022028
BH14_FDSW220017134-1r,BH6_FDSW220017126-1r,0.71510842,0.302069748,0.422411119,-0.559315087,0.172426071
BH15_FDSW220017135-1r,BH6_FDSW220017126-1r,0.74559498,0.30566084,0.409955604,-0.596992415,0.150207232
DD1_FDSW220008388-1r,BH6_FDSW220017126-1r,0.05415042,0.304376465,0.735448374,0.387607363,0.130840728
DD3_FDSW220008390-2r,BH6_FDSW220017126-1r,0.05193057,0.283171065,0.75609329,0.450057231,0.13865949
DD5_FDSW220008392-2r,BH6_FDSW220017126-1r,0.06160051,0.323310092,0.721110694,0.344236581,0.137393752
DD7_FDSW220008394-1r,BH6_FDSW220017126-1r,0.04883713,0.285939183,0.750724023,0.433815459,0.128220296
DD9_FDSW220008396-1r,BH6_FDSW220017126-1r,0.05344405,0.301574092,0.737860143,0.394902847,0.130761347
DD11_FDSW220008398-1r,BH6_FDSW220017126-1r,0.05588413,0.318353866,0.721994149,0.34690899,0.126739516
DD13_FDSW220008400-2r,BH6_FDSW220017126-1r,0.05349857,0.308874111,0.73019001,0.37170107,0.126472631
DD15_FDSW220008402-2r,BH6_FDSW220017126-1r,0.05455387,0.319509284,0.719756203,0.340139311,0.1228931
DY2_FDME210438600-1b,BH6_FDSW220017126-1r,0.00778106,0.30079045,0.704692807,0.294573271,0.018229492
DY3_FDME210438601-1r,BH6_FDSW220017126-1r,0.05941308,0.36407932,0.676089223,0.208048823,0.110329098
DY6_FDME210438604-1r,BH6_FDSW220017126-1r,0.00388343,0.26771777,0.735137084,0.386665727,0.010663668
DY7_FDME210438605-1r,BH6_FDSW220017126-1r,0.00083045,0.261295614,0.739318353,0.399313861,0.002349702
DY10_FDME210438608-1r,BH6_FDSW220017126-1r,0.00435151,0.277295441,0.72586316,0.358612558,0.011390742
DY11_FDME210438609-1r,BH6_FDSW220017126-1r,0.00103782,0.216585913,0.784227974,0.535163279,0.003757804
DY13_FDME210438611-1b,BH6_FDSW220017126-1r,0.00032979,0.240274528,0.759976104,0.461802554,0.001043109
DY15_FDME210438613-1r,BH6_FDSW220017126-1r,0.00060113,0.25423838,0.74621019,0.420161333,0.001764365
LYG1_FDME210455382-1r,BH6_FDSW220017126-1r,0.07923168,0.369922217,0.684295679,0.232872954,0.146565666
LYG3_FDME210455384-1r,BH6_FDSW220017126-1r,0.0660447,0.316978613,0.731321282,0.375123111,0.152375879
LYG5_FDME210455386-1r,BH6_FDSW220017126-1r,0.06653121,0.317761681,0.730863556,0.373738513,0.153024231
LYG6_FDME210455387-1r,BH6_FDSW220017126-1r,0.07113346,0.363845031,0.684872306,0.234617222,0.133895842
LYG7_FDME210455388-1r,BH6_FDSW220017126-1r,0.06700119,0.366058054,0.679467047,0.218266577,0.124365795
LYG11_FDME210455392-2r,BH6_FDSW220017126-1r,0.05889331,0.254986446,0.791635595,0.557570971,0.18284125
LYG13_FDME210455394-1a,BH6_FDSW220017126-1r,0.07500718,0.330681174,0.723593537,0.351747059,0.164130029
LYG15_FDME210455396-1a,BH6_FDSW220017126-1r,0.05365019,0.161448623,0.88609029,0.843291823,0.294452263
NB1_FDME210455352-1r,BH6_FDSW220017126-1r,0.04271743,0.373237545,0.654730875,0.143440861,0.074934638
NB2_FDME210455353-1r,BH6_FDSW220017126-1r,0.04528889,0.366745386,0.663294485,0.169345365,0.081909336
NB4_FDME210455355-1r,BH6_FDSW220017126-1r,0.04162562,0.362043646,0.665665075,0.176516284,0.076534202
NB6_FDME210455357-1r,BH6_FDSW220017126-1r,0.03918145,0.345612823,0.681072588,0.22312326,0.077211868
NB7_FDME210455358-1r,BH6_FDSW220017126-1r,0.04064471,0.355971737,0.67131361,0.193602826,0.076650318
NB11_FDME210455362-1b,BH6_FDSW220017126-1r,0.03900877,0.345593353,0.680970467,0.222814348,0.076864384
NB12_FDME210455363-1r,BH6_FDSW220017126-1r,0.03823361,0.351746695,0.674023663,0.201800604,0.073263966
NB15_FDME210455366-1r,BH6_FDSW220017126-1r,0.04204281,0.37227222,0.655277487,0.145094335,0.074004197
SY1_FDME210455397-2a,BH6_FDSW220017126-1r,0.04297278,0.266987049,0.765926962,0.47980361,0.123279429
SY3_FDME210455399-2a,BH6_FDSW220017126-1r,0.1016161,0.27382875,0.808308397,0.608005386,0.299958083
SY7_FDME210455403-2a,BH6_FDSW220017126-1r,0.0593138,0.267028119,0.779188512,0.519919152,0.173077771
SY9_FDME210455405-2a,BH6_FDSW220017126-1r,0.06739646,0.249414816,0.804827723,0.597476517,0.217479219
SY11_FDME210455407-1r,BH6_FDSW220017126-1r,0.03077417,0.190654611,0.835043149,0.688876708,0.134786983
SY12_FDME210455408-1r,BH6_FDSW220017126-1r,0.0492191,0.206883897,0.834173366,0.686245656,0.198455573
SY13_FDME210455409-2a,BH6_FDSW220017126-1r,0.1018593,0.270176898,0.812593286,0.620966965,0.306355518
