	Sample	Longitude	Latitude		Type	Richness
175	YC13_FDME220007417-1r	120.9748363	32.82356196	592	mOTUs	592
176	YC15_FDME220007419-1r	120.9748363	32.82356196	582	mOTUs	582
177	ZH1_FDSW220008784-1r	113.6442374	22.43845252	375	mOTUs	375
178	ZH3_FDSW220008786-1r	113.6442374	22.43845252	476	mOTUs	476
179	ZH5_FDSW220008788-1r	113.6442374	22.43845252	408	mOTUs	408
180	ZH7_FDSW220008790-1r	113.6442374	22.43845252	464	mOTUs	464
181	ZH9_FDSW220008792-2r	113.6442374	22.43845252	456	mOTUs	456
182	ZH11_FDSW220008794-2r	113.6442374	22.43845252	449	mOTUs	449
183	ZH13_FDSW220008796-2r	113.6442374	22.43845252	446	mOTUs	446
184	ZH15_FDSW220008798-2r	113.6442374	22.43845252	451	mOTUs	451
185	CXD_1412_FDSW210423229-1r	120.7538438	36.45812023	574	mOTUs	574
186	CXD_1414_FDSW210423231-1r	120.7538438	36.45812023	551	mOTUs	551
187	CXD_1604_FDSW210423236-1r	120.7538438	36.45812023	498	mOTUs	498
188	CXD_1609_FDSW210423241-1r	120.7538438	36.45812023	521	mOTUs	521
189	CXD_1610_FDSW210423242-1r	120.7538438	36.45812023	510	mOTUs	510
190	CXD_1611_FDSW210423243-1r	120.7538438	36.45812023	556	mOTUs	556
191	CXD_1612_FDSW210423244-1r	120.7538438	36.45812023	546	mOTUs	546
192	CXD_1613_FDSW210423245-1r	120.7538438	36.45812023	535	mOTUs	535
193	BH2_FDSW220017122-1r	109.1590941	21.55293944	11917	vPCs	397.2333333
194	BH4_FDSW220017124-1r	109.1590941	21.55293944	11925	vPCs	397.5
195	BH6_FDSW220017126-1r	109.1590941	21.55293944	12720	vPCs	424
196	BH8_FDSW220017128-1r	109.1590941	21.55293944	12266	vPCs	408.8666667
197	BH10_FDSW220017130-1r	109.1590941	21.55293944	12011	vPCs	400.3666667
198	BH12_FDSW220017132-1r	109.1590941	21.55293944	12720	vPCs	424
199	BH14_FDSW220017134-1r	109.1590941	21.55293944	13977	vPCs	465.9
200	BH15_FDSW220017135-1r	109.1590941	21.55293944	13524	vPCs	450.8
201	DD1_FDSW220008388-1r	123.6935985	39.81195629	18694	vPCs	623.1333333
202	DD3_FDSW220008390-2r	123.6935985	39.81195629	16199	vPCs	539.9666667
203	DD5_FDSW220008392-2r	123.6935985	39.81195629	19291	vPCs	643.0333333
204	DD7_FDSW220008394-1r	123.6935985	39.81195629	18088	vPCs	602.9333333
205	DD9_FDSW220008396-1r	123.6935985	39.81195629	17869	vPCs	595.6333333
206	DD11_FDSW220008398-1r	123.6935985	39.81195629	17635	vPCs	587.8333333
207	DD13_FDSW220008400-2r	123.6935985	39.81195629	17330	vPCs	577.6666667
208	DD15_FDSW220008402-2r	123.6935985	39.81195629	16261	vPCs	542.0333333
209	DY2_FDME210438600-1b	119.164238	37.79432153	10027	vPCs	334.2333333
210	DY3_FDME210438601-1r	119.164238	37.79432153	5218	vPCs	173.9333333
211	DY6_FDME210438604-1r	119.164238	37.79432153	12290	vPCs	409.6666667
212	DY7_FDME210438605-1r	119.164238	37.79432153	11131	vPCs	371.0333333
213	DY10_FDME210438608-1r	119.164238	37.79432153	14227	vPCs	474.2333333
214	DY11_FDME210438609-1r	119.164238	37.79432153	9602	vPCs	320.0666667
215	DY13_FDME210438611-1b	119.164238	37.79432153	12047	vPCs	401.5666667
216	DY15_FDME210438613-1r	119.164238	37.79432153	10860	vPCs	362
217	LYG1_FDME210455382-1r	119.2052329	34.89410646	33305	vPCs	1110.166667
218	LYG3_FDME210455384-1r	119.2052329	34.89410646	30603	vPCs	1020.1
219	LYG5_FDME210455386-1r	119.2052329	34.89410646	29221	vPCs	974.0333333
220	LYG6_FDME210455387-1r	119.2052329	34.89410646	26140	vPCs	871.3333333
221	LYG7_FDME210455388-1r	119.2052329	34.89410646	25663	vPCs	855.4333333
222	LYG11_FDME210455392-2r	119.2052329	34.89410646	28859	vPCs	961.9666667
223	LYG13_FDME210455394-1a	119.2052329	34.89410646	18533	vPCs	617.7666667
224	LYG15_FDME210455396-1a	119.2052329	34.89410646	6949	vPCs	231.6333333
225	NB1_FDME210455352-1r	122.0301193	29.82061002	44527	vPCs	1484.233333
226	NB2_FDME210455353-1r	122.0301193	29.82061002	32577	vPCs	1085.9
227	NB4_FDME210455355-1r	122.0301193	29.82061002	46679	vPCs	1555.966667
228	NB6_FDME210455357-1r	122.0301193	29.82061002	46479	vPCs	1549.3
229	NB7_FDME210455358-1r	122.0301193	29.82061002	43771	vPCs	1459.033333
230	NB11_FDME210455362-1b	122.0301193	29.82061002	49706	vPCs	1656.866667
231	NB12_FDME210455363-1r	122.0301193	29.82061002	49203	vPCs	1640.1
232	NB15_FDME210455366-1r	122.0301193	29.82061002	48673	vPCs	1622.433333
233	SY1_FDME210455397-2a	109.6807945	18.27040352	7184	vPCs	239.4666667
234	SY3_FDME210455399-2a	109.6807945	18.27040352	11912	vPCs	397.0666667
235	SY7_FDME210455403-2a	109.6807945	18.27040352	11125	vPCs	370.8333333
236	SY9_FDME210455405-2a	109.6807945	18.27040352	13961	vPCs	465.3666667
237	SY11_FDME210455407-1r	109.6807945	18.27040352	13078	vPCs	435.9333333
238	SY12_FDME210455408-1r	109.6807945	18.27040352	14893	vPCs	496.4333333
239	SY13_FDME210455409-2a	109.6807945	18.27040352	13922	vPCs	464.0666667
240	SY15_FDME210455411-2a	109.6807945	18.27040352	13617	vPCs	453.9
241	ST1_FDME220007465-1r	116.7255591	23.32790454	16301	vPCs	543.3666667
242	ST3_L1	116.7255591	23.32790454	9721	vPCs	324.0333333
243	ST7_FDME220007471-1r	116.7255591	23.32790454	10446	vPCs	348.2
