"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7"
"YC9_FDME220007413-1r",0.0916266856034946,-0.0139239883687925,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097551,0.0134973575856895
"YC11_FDME220007415-1r",0.0916266856034946,-0.0139239883687924,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097549,0.0134973575856901
"YC13_FDME220007417-1r",0.0916266856034946,-0.0139239883687924,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097551,0.0134973575856961
"YC15_FDME220007419-1r",0.0916266856034946,-0.0139239883687924,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097549,0.0134973575857645
"ZH1_FDSW220008784-1r",-0.153952342826157,-0.00588022545311497,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615434,-3.3855644998855e-07
"ZH3_FDSW220008786-1r",-0.153952342826157,-0.00588022545311497,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615434,-3.38556416763567e-07
"ZH5_FDSW220008788-1r",-0.153952342826157,-0.00588022545311494,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615441,-3.38556444091662e-07
"ZH7_FDSW220008790-1r",-0.153952342826157,-0.00588022545311494,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615441,-3.38556382675309e-07
"ZH9_FDSW220008792-2r",-0.153952342826157,-0.00588022545311494,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615445,-3.3855637488804e-07
"ZH11_FDSW220008794-2r",-0.153952342826157,-0.00588022545311496,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615425,-3.38556383543938e-07
"ZH13_FDSW220008796-2r",-0.153952342826157,-0.00588022545311497,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615442,-3.38556397389403e-07
"ZH15_FDSW220008798-2r",-0.153952342826157,-0.00588022545311496,-0.0713852572590989,0.180424061201062,0.111075629560725,-0.00126449462615431,-3.38556337350176e-07
"CXD_1412_FDSW210423229-1r",0.0962298586318595,0.0739067616732578,-0.0403279663183075,0.0450952562144699,-0.0444015207526394,-0.0932047605754659,0.175067598437841
"CXD_1414_FDSW210423231-1r",0.0962298586318595,0.0739067616732578,-0.0403279663183075,0.0450952562144699,-0.0444015207526394,-0.0932047605754663,0.175067598437865
"CXD_1604_FDSW210423236-1r",0.0962298586318595,0.0739067616732578,-0.0403279663183075,0.0450952562144699,-0.0444015207526394,-0.0932047605754657,0.175067598437968
