,distv_num,dist_loca_num,Type
7118,-2.925545552,5.794732382,Virus
9422,-2.92393159,6.255168341,Virus
3327,-2.920766133,5.794732382,Host
7089,-2.919300224,5.794732382,Virus
7133,-2.917374072,5.794732382,Virus
1654,-2.916860505,5.970751066,Host
3323,-2.915607642,5.794732382,Host
1978,-2.914808063,6.167947556,Host
1976,-2.911430292,6.167947556,Host
10034,-2.910061449,6.377449076,Virus
9452,-2.909537463,6.255168341,Virus
7152,-2.899577482,5.794732382,Virus
9831,-2.898355665,6.319760596,Virus
1979,-2.89797882,6.167947556,Host
9442,-2.897585843,6.255168341,Virus
1683,-2.896453797,6.167947556,Host
658,-2.895472286,6.319760596,Host
769,-2.894241902,6.448694422,Host
1270,-2.894236463,6.448694422,Host
7130,-2.893868424,5.794732382,Virus
1673,-2.892660582,6.049067775,Host
6116,-2.892066331,5.350435739,Virus
9449,-2.891801839,6.255168341,Virus
6117,-2.890547241,5.350435739,Virus
6903,-2.889831069,5.723030061,Virus
1676,-2.888563523,6.049067775,Host
1965,-2.888314409,6.049067775,Host
1975,-2.887284283,6.167947556,Host
3324,-2.887030377,5.794732382,Host
6118,-2.884324227,5.350435739,Virus
3297,-2.883783118,6.204440095,Host
6114,-2.882711266,5.350435739,Virus
1680,-2.882021239,6.167947556,Host
9792,-2.880900238,6.319760596,Virus
6113,-2.879407128,5.350435739,Virus
7125,-2.87926924,5.794732382,Virus
6120,-2.875545217,5.350435739,Virus
3271,-2.875338466,5.794732382,Host
3298,-2.874399536,6.204440095,Host
6911,-2.874190838,5.723030061,Virus
9455,-2.872533884,6.255168341,Virus
1672,-2.872431655,6.049067775,Host
1876,-2.872012434,5.970751066,Host
7116,-2.871533755,5.794732382,Virus
3302,-2.871529976,6.204440095,Host
3296,-2.870137117,6.204440095,Host
6935,-2.869992202,5.723030061,Virus
6119,-2.869749944,5.350435739,Virus
6375,-2.869288975,5.507657415,Virus
1827,-2.867293185,6.049067775,Host
1799,-2.864871734,5.970751066,Host
1971,-2.86375192,6.049067775,Host
6927,-2.86201458,5.723030061,Virus
10214,-2.861979694,6.448694422,Virus
6943,-2.861659528,5.723030061,Virus
10174,-2.858486102,6.448694422,Virus
10166,-2.856202748,6.448694422,Virus
1895,-2.85587858,6.049067775,Host
1589,-2.855592143,6.210694031,Host
7113,-2.855186494,5.794732382,Virus
1797,-2.854224029,5.970751066,Host
1800,-2.854139788,5.970751066,Host
